"","seqnames","start","end","width","strand","Conc","Conc_V2084D_shEV","Conc_WT_shEV","Fold","p.value","FDR","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME","flank_txIds","flank_geneIds","flank_gene_distances"
"29","chr1",248825966,248826366,401,"*",4.95413637605113,3.85423872071013,5.57091788684557,-1.74897513170965,1.26764910011178e-07,8.18857606634274e-05,"Promoter (<=1kb)",1,248826377,248826443,67,1,"100422879","ENST00000582636.1",-11,"ENSG00000264500","MIR3124","microRNA 3124","ENST00000582636.1;ENST00000366472.6;ENST00000475978.1","100422879;80851;80851","-11;-51;-331"
"348","chr19",7197403,7197803,401,"*",4.63006131351115,3.70060813777409,5.19072020580584,-1.52216459120324,1.07727226410296e-05,0.000578239006402313,"Intron (ENST00000341500.9/3643, intron 2 of 20)",19,7159423,7167978,8556,2,"3643","ENST00000600492.1",-29425,"ENSG00000171105","INSR","insulin receptor","ENST00000341500.9;ENST00000302850.10;ENST00000598216.1","3643;3643;3643","0;0;0"
"111","chr5",36240970,36241370,401,"*",4.02160619937175,2.58345409075031,4.72732787320649,-2.16480477042739,1.05749706524443e-06,0.000177502428282274,"Promoter (<=1kb)",5,36192592,36241391,48800,2,"133686","ENST00000397338.5",21,"ENSG00000152620","NADK2","NAD kinase 2, mitochondrial","ENST00000381937.9;ENST00000397338.5;ENST00000282512.7;ENST00000506945.5;ENST00000514504.5;ENST00000511088.1","133686;133686;133686;133686;133686;133686","0;0;0;0;0;0"
"5234","chr20",21235712,21236112,401,"*",3.61524692963781,2.90803070147111,4.08773380823778,-1.20816884168835,0.00671057480342681,0.024007513742374,"Intron (ENST00000619574.4/55857, intron 9 of 10)",20,21244471,21246618,2148,1,"55857","ENST00000423272.1",-8359,"ENSG00000088970","KIZ","kizuna centrosomal protein","ENST00000619574.4;ENST00000620891.4;ENST00000611685.4;ENST00000616848.4;ENST00000619189.5;ENST00000616679.4;ENST00000619179.4;ENST00000621366.1;ENST00000451772.5;ENST00000419359.5;ENST00000441136.1","55857;55857;55857;55857;55857;55857;55857;55857;55857;55857;55857","0;0;0;0;0;0;0;0;0;0;9572"
"3983","chr5",72248500,72248900,401,"*",3.61531894420236,2.80903239334009,4.12946454692791,-1.34733978305659,0.0029413794118473,0.0138250641227196,"Intron (ENST00000694990.1/23107, intron 5 of 11)",5,72223803,72238130,14328,2,"23107","ENST00000522562.5",-10370,"ENSG00000113048","MRPS27","mitochondrial ribosomal protein S27","ENST00000694990.1;ENST00000694989.1;ENST00000522042.2;ENST00000261413.10;ENST00000513900.6;ENST00000694991.1;ENST00000694992.1;ENST00000694993.1;ENST00000695297.1;ENST00000694994.1;ENST00000519143.6;ENST00000694995.1;ENST00000694996.2;ENST00000694997.1;ENST00000695298.1;ENST00000694998.2;ENST00000523654.6;ENST00000695403.1;ENST00000457646.9;ENST00000695404.1;ENST00000508863.6;ENST00000515404.5;ENST00000522404.5","23107;23107;23107;23107;23107;23107;23107;23107;23107;23107;23107;23107;23107;23107;23107;23107;23107;23107;23107;23107;23107;23107;23107","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0"
"4411","chr3",128845812,128846212,401,"*",4.72676788104718,4.20874245277353,5.10713499503157,-0.933876634502776,0.00396178121925717,0.0168175951915578,"Distal Intergenic",3,128861546,128865604,4059,2,"653712","ENST00000480931.1",19392,NA,"LOC653712","intraflagellar transport 122 homolog (Chlamydomonas) pseudogene",NA,NA,NA
"19","chr8",90645876,90646276,401,"*",4.65835612879244,3.39181554615917,5.32224240512815,-1.95958224990429,6.98639221524888e-08,6.41050202262936e-05,"Promoter (<=1kb)",8,90621995,90645905,23911,2,"169200","ENST00000418210.2",0,"ENSG00000180694","TMEM64","transmembrane protein 64","ENST00000667296.1;ENST00000668846.1;ENST00000519519.5;ENST00000521852.5;ENST00000418210.2;ENST00000458549.7;ENST00000422900.1","102724670;102724670;105375633;105375633;169200;169200;169200","0;-144;0;0;0;0;-364"
"2433","chr17",48555489,48555889,401,"*",4.20884611707299,3.45586988132381,4.70108062647981,-1.27681734695822,0.000828528616444048,0.00637667484463695,"Promoter (<=1kb)",17,48551141,48556521,5381,2,"3213","ENST00000471459.1",632,"ENSG00000120093","HOXB3","homeobox B3","ENST00000464382.2;ENST00000435312.5;ENST00000508688.5;ENST00000502764.2;ENST00000470495.1;ENST00000498678.6;ENST00000472863.5;ENST00000311626.8;ENST00000490677.1;ENST00000460160.5;ENST00000489475.5;ENST00000476342.1;ENST00000471459.1;ENST00000465120.3;ENST00000478644.1;ENST00000465846.6","100874350;100874362;100874362;100874362;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;3213;404266","-1373;0;0;0;-1567;0;0;0;0;0;0;0;0;0;0;0"
"239","chr17",48544432,48544832,401,"*",4.58618686829245,3.58686463441797,5.17092337619576,-1.61526528493371,5.581369665837e-06,0.000434133594362147,"Promoter (<=1kb)",17,48544351,48551250,6900,1,"100874362","ENST00000435312.5",81,"ENSG00000230148","HOXB-AS1","HOXB cluster antisense RNA 1","ENST00000504972.3;ENST00000435312.5;ENST00000508688.5;ENST00000502764.2;ENST00000330070.6;ENST00000571287.1;ENST00000470495.1;ENST00000498678.6;ENST00000472863.5;ENST00000465846.6","100874362;100874362;100874362;100874362;3212;3212;3213;3213;3213;404266","0;0;0;0;0;-523;9090;0;0;0"
"672","chr17",59786423,59786823,401,"*",4.06524490339422,2.99881853670236,4.67168681945015,-1.69981089403927,3.86741985285459e-05,0.00107649890198403,"Intron (ENST00000262291.9/81671, intron 7 of 11)",17,59773754,59840024,66271,1,"81671","ENST00000591877.1",12669,"ENSG00000062716","VMP1","vacuole membrane protein 1","ENST00000262291.9;ENST00000592619.5;ENST00000591877.1","81671;81671;81671","0;0;0"
"1659","chr14",24141190,24141590,401,"*",4.96526685964089,4.35534035466747,5.39262621887807,-1.07279951290553,0.000335339485631118,0.00378428589417333,"Promoter (<=1kb)",14,24138965,24141570,2606,2,"51016","ENST00000560403.5",0,"ENSG00000100908","EMC9","ER membrane protein complex subunit 9","ENST00000559042.1;ENST00000620784.1;ENST00000560403.5;ENST00000419198.6;ENST00000216799.9;ENST00000560600.1;ENST00000559101.1;ENST00000558200.1;ENST00000559123.5;ENST00000206451.11;ENST00000561059.5;ENST00000561142.5;ENST00000382708.7;ENST00000561435.5;ENST00000470718.5;ENST00000559741.5;ENST00000560420.1;ENST00000558112.1;ENST00000559005.2;ENST00000560410.5;ENST00000216802.10;ENST00000615264.4;ENST00000471700.6;ENST00000559453.5;ENST00000558273.5;ENST00000558931.5;ENST00000560370.3;ENST00000559359.1;ENST00000559056.5;ENST00000559493.5;ENST00000560592.5;ENST00000560788.1;ENST00000559613.1;ENST00000630027.1","102465801;102465801;51016;51016;51016;51016;51016;51016;5720;5720;5720;5720;5720;5720;5720;5720;5720;5720;5721;5721;5721;5721;5721;5721;5721;5721;5721;5721;5721;5721;5721;5721;5721;5721","2419;1975;0;0;0;0;-1182;0;0;0;0;0;0;0;0;3792;3670;3670;2362;5015;5020;0;4989;4648;0;0;5001;3067;4724;4988;5031;5006;0;0"
"2646","chr14",103910350,103910750,401,"*",4.24781496891798,3.5231723335557,4.72792813486797,-1.2368193863953,0.00101633968338512,0.00719270543590986,"Distal Intergenic",14,103912516,103914142,1627,2,"9556","ENST00000554287.1",3392,"ENSG00000156411","ATP5MJ","ATP synthase membrane subunit j","ENST00000286953.8;ENST00000554880.5;ENST00000555030.5;ENST00000414262.6;ENST00000553430.5;ENST00000554287.1;ENST00000557040.5;ENST00000553449.1;ENST00000554089.5;ENST00000554713.2;ENST00000557260.1;ENST00000554528.1","9556;9556;9556;9556;9556;9556;9556;9556;9556;9556;9556;9556","0;0;0;0;0;3392;0;0;0;0;0;0"
"4522","chr1",146472320,146472720,401,"*",4.15030015214874,3.52584829004276,4.58468425457511,-1.09144035205145,0.00425466089922097,0.0176177194131535,"Promoter (<=1kb)",1,146472566,146525291,52726,1,"100288805","ENST00000621489.2",0,NA,"HYDIN2","HYDIN axonemal central pair apparatus protein 2 (pseudogene)","ENST00000621489.2","100288805","0"
"702","chr11",10931229,10931629,401,"*",4.50753781788214,3.6435374022044,5.04416076803395,-1.43264322567823,4.1924686107242e-05,0.0011164042919225,"Distal Intergenic",11,10865261,10906802,41542,1,"729013","ENST00000530344.1",65968,"ENSG00000247271","ZBED5-AS1","ZBED5 antisense RNA 1",NA,NA,NA
"200","chr12",31073589,31073989,401,"*",5.06625458429301,4.24770651722908,5.58528081203369,-1.37213867266658,4.13359282458242e-06,0.000385246738223396,"Promoter (<=1kb)",12,31019434,31073786,54353,2,"100506660","ENST00000669174.1",0,"ENSG00000245614","DDX11-AS1","DDX11 antisense RNA 1","ENST00000669174.1;ENST00000685910.1;ENST00000500527.1;ENST00000701923.1;ENST00000618041.2;ENST00000542129.5;ENST00000228264.10;ENST00000542838.6;ENST00000438391.6;ENST00000435753.6;ENST00000540935.5;ENST00000539049.5;ENST00000536265.5;ENST00000415475.6;ENST00000545668.5;ENST00000350437.8;ENST00000535158.5;ENST00000543756.5;ENST00000542244.5;ENST00000535317.5;ENST00000544652.1","100506660;100506660;100506660;100506660;100506660;1663;1663;1663;1663;1663;1663;1663;1663;1663;1663;1663;1663;1663;1663;1663;1663","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-231;-275;-4531"
"2004","chr17_KI270908v1_alt",1290314,1290714,401,"*",3.61480765733494,2.58325352650263,4.21013667835709,-1.65004865763436,0.000516742431575439,0.00482799799037541,"Intron (ENST00000616347.2/7473, intron 2 of 4)",376,1245985,1275249,29265,1,"4905","ENST00000632862.1",44329,"ENSG00000073969","NSF","N-ethylmaleimide sensitive factor, vesicle fusing ATPase","ENST00000632508.1;ENST00000616347.2","101929777;7473","61742;0"
"901","chr16",46689008,46689408,401,"*",4.52381673222559,3.7006064900756,5.04468356238779,-1.37652868855205,7.27743585323218e-05,0.00151139917781151,"Promoter (<=1kb)",16,46656132,46689178,33047,2,"55737","ENST00000299138.12",0,"ENSG00000069329","VPS35","VPS35 retromer complex component","ENST00000563599.5;ENST00000569239.5;ENST00000219097.7;ENST00000563306.5;ENST00000568364.6;ENST00000570260.2;ENST00000566860.1;ENST00000299138.12;ENST00000647959.1;ENST00000568784.6;ENST00000569950.1;ENST00000568612.5;ENST00000563984.1","23594;23594;23594;23594;23594;23594;23594;55737;55737;55737;55737;55737;55737","-235;-251;-251;-274;-289;-299;-1378;0;0;0;0;0;0"
"12369","chr19",55340721,55341121,401,"*",3.83264624710566,3.523149442942,4.087333214744,-0.599135972986934,0.132391841348577,0.200428023596485,"Promoter (<=1kb)",19,55341616,55344379,2764,1,"84787","ENST00000464185.1",-495,"ENSG00000133247","KMT5C","lysine methyltransferase 5C","ENST00000589338.5;ENST00000498738.1;ENST00000255613.8;ENST00000402499.6;ENST00000445196.5;ENST00000464185.1;ENST00000630497.1;ENST00000592631.5;ENST00000468951.5;ENST00000460956.5;ENST00000587442.1;ENST00000474492.1","84787;84787;84787;84787;84787;84787;84787;84787;84787;84787;84787;84787","0;0;0;0;0;-495;-673;-720;-1201;-1497;-1654;-4952"
"9739","chr5",115544872,115545272,401,"*",4.39264565787293,4.04355178307349,4.67351049980982,-0.66592329268201,0.0509405268367416,0.097954104827826,"Promoter (<=1kb)",5,115520908,115544775,23868,2,"56929","ENST00000274457.5",-97,"ENSG00000145780","FEM1C","fem-1 homolog C","ENST00000274457.5","56929","-97"
"1867","chr11",65524462,65524862,401,"*",3.55446301106974,2.45943665372364,4.16975916867075,-1.73158937803092,0.000439367236639577,0.00440613835330257,"Promoter (<=1kb)",11,65525077,65538704,13628,1,"57410","ENST00000525364.5",-215,"ENSG00000142186","SCYL1","SCY1 like pseudokinase 1","ENST00000525364.5;ENST00000270176.10;ENST00000420247.6;ENST00000533862.5;ENST00000524944.5;ENST00000527009.5","57410;57410;57410;57410;57410;57410","0;0;0;0;0;0"
"6183","chr11",64924297,64924697,401,"*",4.50713822261823,4.04174816144631,4.85845533397622,-0.852021894264936,0.0109371046899154,0.0331260763389143,"Promoter (<=1kb)",11,64924689,64934475,9787,1,"5526","ENST00000164133.7",0,"ENSG00000068971","PPP2R5B","protein phosphatase 2 regulatory subunit B'beta","ENST00000413292.1;ENST00000526559.5;ENST00000164133.7;ENST00000532850.1;ENST00000528530.1","5526;5526;5526;5526;5526","0;0;0;-24;-3037"
"5041","chr22",41285417,41285817,401,"*",3.78168142367648,3.08967988942363,4.24740050240279,-1.18753105201342,0.00588341520206753,0.0218548516716897,"Promoter (<=1kb)",22,41280933,41285905,4973,2,"5905","ENST00000422838.1",88,"ENSG00000100401","RANGAP1","Ran GTPase activating protein 1","ENST00000356244.8;ENST00000405486.5;ENST00000455915.6;ENST00000452543.5;ENST00000418067.1;ENST00000422838.1","5905;5905;5905;5905;5905;5905","0;0;-2903;-3796;-3779;0"
"6471","chr1",44819859,44820259,401,"*",5.57734822245001,5.24840852576054,5.84503816915785,-0.634428673504139,0.0126183422367687,0.0365177514477657,"3' UTR",1,44819844,44823260,3417,2,"8643","ENST00000438067.5",3001,"ENSG00000117425","PTCH2","patched 2","ENST00000450269.6;ENST00000485668.5;ENST00000438067.5;ENST00000447098.6;ENST00000372192.4","149478;149478;8643;8643;8643","11336;11263;0;0;0"
"5294","chrX",2452062,2452462,401,"*",3.69998375589011,2.99973589912469,4.16938375927803,-1.19882940596609,0.00691023637429076,0.0244428734893483,"Intron (ENST00000334651.11/207063, intron 1 of 6)",23,2488186,2500555,12370,2,"9189","ENST00000381218.8",48093,"ENSG00000214717","ZBED1","zinc finger BED-type containing 1","ENST00000334651.11;ENST00000412516.7;ENST00000444280.6;ENST00000441131.7;ENST00000478825.7;ENST00000430536.7","207063;207063;207063;207063;207063;207063","0;0;0;0;0;0"
"1374","chr11",73309190,73309590,401,"*",4.22901913242081,3.39182360677504,4.7553578430829,-1.3943410554693,0.000212809869179375,0.00289932165769981,"Promoter (<=1kb)",11,73307235,73309361,2127,2,"100287837","ENST00000546324.1",0,"ENSG00000257038","ARHGEF17-AS1","ARHGEF17 antisense RNA 1","ENST00000546324.1;ENST00000679753.1;ENST00000263674.4;ENST00000544519.1","100287837;5031;9828;9828","0;44685;0;-1975"
"7624","chr17",7887718,7888118,401,"*",4.54083480754036,4.13203164902718,4.85900932538616,-0.762782439447159,0.021149700736121,0.0519534938224172,"Promoter (<=1kb)",17,7887760,7889776,2017,1,"1107","ENST00000671866.1",0,"ENSG00000170004","CHD3","chromodomain helicase DNA binding protein 3","ENST00000700753.1;ENST00000380358.9;ENST00000672274.1;ENST00000672838.1;ENST00000671866.1;ENST00000330494.12;ENST00000358181.8;ENST00000570758.1;ENST00000574022.1;ENST00000452447.1;ENST00000576861.5;ENST00000570555.1","1107;1107;1107;1107;1107;1107;1107;1107;1107;1107;84316;84316","0;0;0;0;0;-671;-673;-1600;-2306;-2617;0;0"
"11467","chr20",57514260,57514660,401,"*",3.42693069737572,3.00187617180265,3.75483579266514,-0.784675195477771,0.0952416120897915,0.155523110118381,"3' UTR",20,57499554,57524257,24704,2,"140690","ENST00000608440.5",9597,"ENSG00000124092","CTCFL","CCCTC-binding factor like","ENST00000423479.7;ENST00000608263.5;ENST00000429804.7;ENST00000609232.5;ENST00000243914.8;ENST00000371196.6;ENST00000608440.5;ENST00000422109.6;ENST00000426658.6;ENST00000433949.7;ENST00000502686.6;ENST00000432255.6;ENST00000539382.5;ENST00000608903.5;ENST00000422869.6;ENST00000608425.5;ENST00000607923.5;ENST00000608720.5;ENST00000608108.1;ENST00000608858.5;ENST00000608158.5;ENST00000481655.2","140690;140690;140690;140690;140690;140690;140690;140690;140690;140690;140690;140690;140690;140690;140690;140690;140690;140690;140690;140690;140690;140690","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10207;10992"
"1288","chr19",2385114,2385514,401,"*",4.44256281762802,3.64442207716099,4.95343377671608,-1.34130066174032,0.000179422051317728,0.00260753552159426,"Intron (ENST00000649857.1/360200, intron 1 of 17)",19,2389761,2426239,36479,1,"360200","ENST00000648592.1",-4247,"ENSG00000178297","TMPRSS9","transmembrane serine protease 9","ENST00000649857.1;ENST00000696167.1;ENST00000648592.1;ENST00000395264.3","360200;360200;360200;360200","0;0;-4247;-4257"
"8443","chr16",29288662,29289062,401,"*",3.93032740785833,3.45766006441715,4.28575981848231,-0.86146438987936,0.0300470812552645,0.0666515065902747,"Exon (ENST00000687339.1/ENST00000687339.1, exon 2 of 2)",16,29291220,29372110,80891,1,"440352","ENST00000604430.1",-2158,NA,"SNX29P2","sorting nexin 29 pseudogene 2","ENST00000641956.1;ENST00000604430.1","440352;440352","0;0"
"187","chr17",8226641,8227041,401,"*",5.34777550867523,4.58145204032596,5.8456036750872,-1.29978430383791,3.5598543655418e-06,0.000354716765051567,"3' UTR",17,8220624,8224043,3420,2,"284029","ENST00000315707.4",-2598,"ENSG00000178977","LINC00324","long intergenic non-protein coding RNA 324","ENST00000315707.4;ENST00000651323.1;ENST00000449476.7;ENST00000699849.1;ENST00000699850.1;ENST00000699851.1;ENST00000699852.1;ENST00000699853.1;ENST00000643543.1;ENST00000580299.2;ENST00000699854.1;ENST00000699855.1;ENST00000699856.1;ENST00000699857.1;ENST00000581729.2;ENST00000699858.1;ENST00000581671.2;ENST00000699859.1;ENST00000699860.1;ENST00000699861.1;ENST00000581967.2;ENST00000578441.5;ENST00000578537.1;ENST00000578240.1;ENST00000583254.2;ENST00000699862.1;ENST00000584439.1","284029;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169;80169","0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5915;0;0;4404;5142;5607;10539;16027;3892"
"2086","chr19",29730525,29730925,401,"*",4.00039088933339,3.17156145413472,4.5234651581545,-1.38137340212713,0.000577909595160862,0.0051868517364527,"Distal Intergenic",19,29702789,29715789,13001,2,"83636","ENST00000614091.5",-14736,"ENSG00000131943","C19orf12","chromosome 19 open reading frame 12",NA,NA,NA
"2982","chrX",123765024,123765424,401,"*",3.69926615003781,2.80338807201494,4.24778168744617,-1.47067922555464,0.0013829424764716,0.00868476748633672,"Exon (ENST00000453590.1/ENST00000453590.1, exon 1 of 1)",23,123610198,123733056,122859,2,"57187","ENST00000355725.8",-31968,"ENSG00000125676","THOC2","THO complex subunit 2",NA,NA,NA
"7313","chr1",52703124,52703524,401,"*",4.47603831266794,4.04440436004569,4.80783340332592,-0.798914387447973,0.0185137382122148,0.0474118739479727,"Distal Intergenic",1,52684449,52698347,13899,2,"65260","ENST00000371538.5",-4777,"ENSG00000162377","COA7","cytochrome c oxidase assembly factor 7","ENST00000371538.5","65260","0"
"149","chr18",23689451,23689851,401,"*",4.62977086617204,3.5886748748073,5.22817594122967,-1.67055723141607,2.05566858603581e-06,0.000254756910193308,"Promoter (<=1kb)",18,23689453,23955066,265614,1,"3909","ENST00000313654.14",0,"ENSG00000053747","LAMA3","laminin subunit alpha 3","ENST00000313654.14;ENST00000585600.5;ENST00000399516.7","3909;3909;3909","0;0;0"
"13083","chr19",632966,633366,401,"*",3.08781016431049,2.70056503989488,3.39280215810155,-0.722816238402016,0.168712660414137,0.241461858624648,"Promoter (<=1kb)",19,629636,633525,3890,2,"5442","ENST00000592863.2",159,"ENSG00000099821","POLRMT","RNA polymerase mitochondrial","ENST00000588649.7;ENST00000590573.4;ENST00000592863.2","5442;5442;5442","0;0;0"
"8861","chr15",90648254,90648654,401,"*",3.85674084192876,3.39094058376995,4.20829078510239,-0.850489009062053,0.0363651602923454,0.0768534011458152,"Intron (ENST00000559531.1/101926895, intron 2 of 3)",15,90637852,90638517,666,1,"64784","ENST00000558167.1",10402,"ENSG00000140577","CRTC3","CREB regulated transcription coactivator 3","ENST00000559531.1;ENST00000268184.11;ENST00000420329.6;ENST00000691029.1;ENST00000686240.1;ENST00000692149.1","101926895;64784;64784;64784;64784;64784","0;0;0;0;0;0"
"352","chr2",127107247,127107647,401,"*",4.30359612990376,3.24737116506541,4.90682367190342,-1.6883479826323,1.10360067792393e-05,0.000585658682706768,"Promoter (<=1kb)",2,127048027,127107288,59262,2,"274","ENST00000259238.8",0,"ENSG00000136717","BIN1","bridging integrator 1","ENST00000376113.6;ENST00000259238.8;ENST00000346226.7;ENST00000348750.8;ENST00000351659.7;ENST00000352848.7;ENST00000357970.7;ENST00000393040.7;ENST00000393041.7;ENST00000316724.10;ENST00000409400.1","274;274;274;274;274;274;274;274;274;274;274","0;0;0;0;0;0;0;0;0;0;0"
"7685","chr12",112387470,112387870,401,"*",3.90756137892371,3.39276403335396,4.28619369614957,-0.926188917695813,0.0217128718956077,0.0529136502173045,"Distal Intergenic",12,112160190,112382439,222250,2,"283450","ENST00000377560.9",-5031,"ENSG00000173064","HECTD4","HECT domain E3 ubiquitin protein ligase 4",NA,NA,NA
"2209","chr9",998716,999116,401,"*",5.10590306992609,4.54851843143559,5.50695139834119,-0.99456948421942,0.000655490843248094,0.00555624885365002,"Distal Intergenic",9,976655,991732,15078,1,"58524","ENST00000190165.3",22061,"ENSG00000064218","DMRT3","doublesex and mab-3 related transcription factor 3",NA,NA,NA
"500","chr1",10210558,10210958,401,"*",3.90615100888032,2.69942325234092,4.55392583914191,-1.87787904451852,2.19434935600612e-05,0.000817282235922551,"Promoter (<=1kb)",1,10210570,10308597,98028,1,"23095","ENST00000377093.9",0,"ENSG00000054523","KIF1B","kinesin family member 1B","ENST00000377093.9;ENST00000696500.1;ENST00000676179.1;ENST00000696501.1;ENST00000263934.10;ENST00000696502.1;ENST00000696503.1;ENST00000696504.1;ENST00000377086.5","23095;23095;23095;23095;23095;23095;23095;23095;23095","0;0;0;0;0;0;0;0;-658"
"10719","chr6",109383857,109384257,401,"*",3.52323686002761,3.08666457677723,3.85793320157,-0.803311263066868,0.0733324219080378,0.128111107573357,"Promoter (1-2kb)",6,109366514,109382467,15954,2,"8763","ENST00000310786.10",-1390,"ENSG00000135535","CD164","CD164 molecule","ENST00000504373.2;ENST00000413644.6;ENST00000310786.10;ENST00000275080.11;ENST00000324953.9;ENST00000499860.6;ENST00000512821.5;ENST00000506649.5;ENST00000512212.1","8763;8763;8763;8763;8763;8763;8763;8763;8763","-2118;-1400;-1390;-1413;-1413;-3341;-1447;-1956;-1446"
"7960","chr3",12444473,12444873,401,"*",3.64422817304848,3.08775920743126,4.04480505534544,-0.987945760532846,0.0245003277857336,0.0576443909080818,"Distal Intergenic",3,12424574,12434160,9587,1,"5468","ENST00000684277.1",19899,"ENSG00000132170","PPARG","peroxisome proliferator activated receptor gamma",NA,NA,NA
"5704","chr2",44952069,44952469,401,"*",3.52347327914607,2.80579209562838,4.00055579014806,-1.22240144928093,0.00864272207592279,0.0283743625391275,"Distal Intergenic",2,44940153,44941916,1764,2,"100506108","ENST00000419364.3",-10153,"ENSG00000236502","SIX3-AS1","SIX3 antisense RNA 1",NA,NA,NA
"2606","chr16",3191219,3191619,401,"*",4.285500214584,3.58505232129454,4.75498913126962,-1.20241287796187,0.000978504913679593,0.00702912871450498,"Exon (ENST00000652759.1/4992, exon 3 of 4)",16,3188212,3224779,36568,1,"4992","ENST00000576468.1",3007,"ENSG00000168124","OR1F1","olfactory receptor family 1 subfamily F member 1","ENST00000652759.1;ENST00000576468.1","4992;4992","0;0"
"8212","chr10",133111632,133112032,401,"*",3.83195998140977,3.32085901458159,4.20859848813276,-0.920211357190927,0.0274206440135322,0.0625343767716859,"Intron (ENST00000392607.8/84435, intron 5 of 6)",10,133102246,133131428,29183,1,"84435","ENST00000392606.2",9386,"ENSG00000197177","ADGRA1","adhesion G protein-coupled receptor A1","ENST00000392607.8;ENST00000392606.2","84435;84435","0;0"
"6195","chr6",28399653,28400053,401,"*",4.52433037494157,4.04617604352304,4.88284428176939,-0.871905836759584,0.0109973994968893,0.0332441963490766,"Promoter (<=1kb)",6,28378955,28399734,20780,2,"9753","ENST00000361028.5",0,"ENSG00000158691","ZSCAN12","zinc finger and SCAN domain containing 12","ENST00000361028.5;ENST00000396827.3;ENST00000684592.1","9753;9753;9753","0;0;0"
"2022","chr10",100482273,100482673,401,"*",4.37461770064518,3.64180408333697,4.85826144474465,-1.24904922530219,0.000529186076592178,0.00489972551279215,"Exon (ENST00000343737.6/7479, exon 6 of 6)",10,100486646,100490171,3526,2,"25956","ENST00000485800.6",7498,"ENSG00000075826","SEC31B","SEC31 homolog B, COPII coat complex component","ENST00000485800.6;ENST00000492667.5;ENST00000479697.5;ENST00000370345.8;ENST00000462434.5;ENST00000469546.6;ENST00000482456.6;ENST00000343737.6","25956;25956;25956;25956;25956;25956;25956;7479","7498;7883;37186;37188;37165;34322;37162;0"
"651","chr17",7857320,7857720,401,"*",5.17037533171685,4.49064783014332,5.63055886658686,-1.17553976572247,3.61529391884807e-05,0.00103720928550332,"Promoter (<=1kb)",17,7856685,7857559,875,2,"84316","ENST00000575771.6",0,"ENSG00000183011","NAA38","N-alpha-acetyltransferase 38, NatC auxiliary subunit","ENST00000571846.5;ENST00000574357.1;ENST00000332439.5;ENST00000570446.1;ENST00000573940.1;ENST00000574196.1;ENST00000448097.7;ENST00000254846.9;ENST00000575771.6;ENST00000575071.5;ENST00000333775.9;ENST00000575208.2;ENST00000576861.5;ENST00000576384.1;ENST00000570555.1;ENST00000574668.1;ENST00000301599.7","124637;124637;124637;124637;124637;124637;23135;23135;84316;84316;84316;84316;84316;84316;84316;92162;92162","-26;-283;-283;-310;-563;-565;0;0;0;0;0;0;0;-57;0;0;0"
"561","chr9",108473544,108473944,401,"*",4.49244877414989,3.58686585287268,5.04451398521298,-1.48920170689105,2.70426616246713e-05,0.000901406014617381,"Distal Intergenic",9,108854588,108855986,1399,2,"10880","ENST00000374667.5",382042,"ENSG00000148156","ACTL7B","actin like 7B",NA,NA,NA
"2550","chr16",14013676,14014076,401,"*",4.18906602494496,3.45856254359504,4.67171448982089,-1.24486449744587,0.000929609706629873,0.00682451294654426,"Promoter (1-2kb)",16,14013031,14016001,2971,2,"101927311","ENST00000576797.1",1925,NA,"LINC02185","long intergenic non-protein coding RNA 2185","ENST00000668908.2;ENST00000654412.1;ENST00000575424.3;ENST00000662675.1;ENST00000576797.1;ENST00000575767.1","101927311;101927311;101927311;101927311;101927311;101927348","0;0;0;0;0;7001"
"4486","chr3",179563042,179563442,401,"*",4.10768696180369,3.45473971120834,4.55555201761216,-1.13297866397202,0.00415622932469349,0.0173475635082078,"Promoter (<=1kb)",3,179562959,179570241,7283,1,"86","ENST00000490364.1",83,"ENSG00000136518","ACTL6A","actin like 6A","ENST00000450518.6;ENST00000392662.5;ENST00000491202.5;ENST00000468767.6;ENST00000429709.7;ENST00000494843.5;ENST00000490364.1","86;86;86;86;86;86;86","0;0;0;0;0;0;0"
"8983","chr16",3045194,3045594,401,"*",3.28476293937728,2.69839944685693,3.70050042470053,-1.03017897840774,0.0381082498392947,0.0794427676516717,"Promoter (<=1kb)",16,3046062,3060717,14656,1,"64386","ENST00000612971.2",-468,"ENSG00000008516","MMP25","matrix metallopeptidase 25","ENST00000576250.6;ENST00000612971.2;ENST00000336577.9;ENST00000570755.1","100507419;64386;64386;64386","0;0;0;-1937"
"4566","chr3",39177736,39178136,401,"*",3.93161833040324,3.2472785680465,4.39388999789356,-1.17746395114582,0.00437550809707196,0.0179436062133207,"Promoter (<=1kb)",3,39177761,39179586,1826,1,"105377035","ENST00000669199.1",0,NA,"LOC105377035","uncharacterized LOC105377035","ENST00000641308.1;ENST00000669199.1","101928263;105377035","0;0"
